Price,Close,High,Low,Open,Volume
Ticker,HMC.AX,HMC.AX,HMC.AX,HMC.AX,HMC.AX
Date,,,,,
2022-02-25,6.020461559295654,6.375155535911468,5.563093361882222,5.693769926131467,368892
2022-02-28,5.927121639251709,6.067132477754796,5.71243847223556,5.927121639251709,448738
2022-03-01,6.285199165344238,6.48308403031968,6.021352528934381,6.12500661280909,942674
2022-03-02,6.238083839416504,6.322891771003972,5.931833674305047,6.2192376823223805,375284
2022-03-03,6.29462194442749,6.483083953730324,6.181545008442471,6.483083953730324,291529
2022-03-04,6.238083839416504,6.351160781981243,6.087314582663519,6.19096867134511,211587
2022-03-07,6.44539213180542,6.737507796641395,6.332314737894852,6.351160895325307,1491267
2022-03-08,6.3323140144348145,6.737507026888494,6.322891161460055,6.558468327090228,658311
2022-03-09,6.407698631286621,6.46423709311631,6.266352252048522,6.275775104356261,530378
2022-03-10,6.285199165344238,6.520776342759972,5.842313820179085,6.4925068837658495,1285934
2022-03-11,6.313467502593994,6.379429267003146,5.79519803707441,5.79519803707441,595622
2022-03-14,6.2003912925720215,6.294622074506831,6.153276126268523,6.2663530645902945,258666
2022-03-15,6.153275966644287,6.266352902032691,6.134429810746219,6.153275966644287,420149
2022-03-16,6.05904483795166,6.16269892176781,6.030775828301314,6.134429912117465,421676
2022-03-17,6.021352291107178,6.106160215412056,5.955390971605864,6.068467904460507,875301
2022-03-18,6.492506980895996,6.492506980895996,6.0025064625138045,6.143852860943397,11986969
2022-03-21,6.5113525390625,6.586737158143688,6.398275610440719,6.5584681506521285,1461805
2022-03-22,6.5396223068237305,6.615006929489259,6.407699217159055,6.483083839824584,686521
2022-03-23,6.850584506988525,6.897700123617602,6.567891705869709,6.633853479284852,754475
2022-03-24,6.765776634216309,6.8600078682743115,6.671545849486131,6.831738408191345,659762
2022-03-25,6.728084087371826,6.954238412221736,6.728084087371826,6.954238412221736,301565
2022-03-28,6.558467864990234,6.86000677750887,6.549044563351643,6.822314020282256,316339
2022-03-29,6.520776748657227,6.671546007803297,6.501930591263967,6.586738074869714,391748
2022-03-30,6.558467864990234,6.718660398224268,6.530198409402213,6.643275782426547,292427
2022-03-31,6.501930236816406,6.624430477858502,6.228660744847305,6.360583839408434,621576
2022-04-01,6.313467502593994,6.539621802476971,6.294621348381059,6.388852568773492,548380
2022-04-04,6.690391540527344,6.699814843008055,6.313467978526973,6.313467978526973,533505
2022-04-05,6.567891597747803,6.728084152456156,6.567891597747803,6.690391839504522,184989
2022-04-06,6.690391540527344,6.728083851794602,6.417122059175829,6.417122059175829,358816
2022-04-07,6.7469305992126465,6.81289237437986,6.652699812779365,6.737507745233235,494662
2022-04-08,6.869430065155029,6.897699522534567,6.765775987200433,6.775199289436206,398598
2022-04-11,6.878853797912598,6.954238423205698,6.671545629028761,6.671545629028761,276440
2022-04-12,6.803468704223633,6.907122788375041,6.775199694481855,6.878853778633262,301070
2022-04-13,6.860007286071777,6.925968605120913,6.596160661891877,6.596160661891877,222934
2022-04-14,6.973084449768066,7.086161385603489,6.944814991145311,7.010776761713207,402375
2022-04-19,6.973084449768066,7.020199615035592,6.794045743364747,6.794045743364747,324086
2022-04-20,6.944814682006836,7.001353147407818,6.935391829103896,6.973084139371218,290929
2022-04-21,6.944814682006836,6.991930294504878,6.831737751204871,6.963660837140496,231799
2022-04-22,6.737506866455078,6.8976994071615385,6.709237409548384,6.878853252333001,169689
